Date,Open,High,Low,Close,Adj Close,Volume
2016-06-10,3.550000,3.550000,3.550000,3.550000,3.550000,0
2016-06-13,3.550000,3.550000,3.550000,3.550000,3.550000,0
2016-06-14,3.550000,3.550000,3.550000,3.550000,3.550000,0
2016-06-15,3.550000,3.550000,3.550000,3.550000,3.550000,0
2016-06-16,3.550000,3.550000,3.550000,3.550000,3.550000,0
2016-06-17,3.550000,3.550000,3.550000,3.550000,3.550000,0
2016-06-20,3.550000,3.550000,3.550000,3.550000,3.550000,0
2016-06-21,3.550000,3.550000,3.550000,3.550000,3.550000,0
2016-06-22,3.550000,3.550000,3.550000,3.550000,3.550000,0
2016-06-23,3.380000,3.380000,3.380000,3.380000,3.380000,5
2016-06-24,3.380000,3.380000,3.380000,3.380000,3.380000,0
2016-06-27,3.380000,3.380000,3.380000,3.380000,3.380000,0
2016-06-28,3.380000,3.380000,3.380000,3.380000,3.380000,0
2016-06-29,3.540000,3.540000,3.220000,3.220000,3.220000,3392
2016-06-30,3.070000,3.380000,3.070000,3.230000,3.230000,164
2016-07-01,3.230000,3.230000,3.230000,3.230000,3.230000,0
2016-07-04,3.230000,3.230000,3.230000,3.230000,3.230000,0
2016-07-05,3.390000,3.390000,3.390000,3.390000,3.390000,75
2016-07-07,3.390000,3.390000,3.390000,3.390000,3.390000,0
2016-07-08,3.390000,3.390000,3.390000,3.390000,3.390000,400
2016-07-11,3.390000,3.390000,3.390000,3.390000,3.390000,0
2016-07-12,3.390000,3.390000,3.390000,3.390000,3.390000,0
2016-07-13,3.390000,3.390000,3.390000,3.390000,3.390000,0
2016-07-14,3.390000,3.390000,3.390000,3.390000,3.390000,350
2016-07-15,3.390000,3.390000,3.390000,3.390000,3.390000,0
2016-07-18,3.230000,3.230000,3.230000,3.230000,3.230000,5
2016-07-19,3.230000,3.230000,3.230000,3.230000,3.230000,0
2016-07-20,3.230000,3.230000,3.230000,3.230000,3.230000,0
2016-07-21,3.070000,3.070000,3.070000,3.070000,3.070000,5
2016-07-22,3.070000,3.070000,3.070000,3.070000,3.070000,0
2016-07-25,3.070000,3.070000,3.070000,3.070000,3.070000,0
2016-07-26,3.070000,3.070000,3.070000,3.070000,3.070000,0
2016-07-27,3.070000,3.070000,3.070000,3.070000,3.070000,0
2016-07-28,3.220000,3.220000,2.930000,2.930000,2.930000,2
2016-07-29,2.930000,2.930000,2.930000,2.930000,2.930000,0
2016-08-01,2.930000,2.930000,2.930000,2.930000,2.930000,0
2016-08-02,3.070000,3.070000,3.070000,3.070000,3.070000,1000
2016-08-03,3.070000,3.070000,3.070000,3.070000,3.070000,0
2016-08-04,3.070000,3.070000,3.070000,3.070000,3.070000,0
2016-08-05,3.070000,3.070000,3.070000,3.070000,3.070000,0
2016-08-08,3.220000,3.220000,3.220000,3.220000,3.220000,1200
2016-08-09,3.220000,3.220000,3.220000,3.220000,3.220000,0
2016-08-10,3.380000,3.380000,3.380000,3.380000,3.380000,1000
2016-08-11,3.380000,3.380000,3.380000,3.380000,3.380000,0
2016-08-12,3.380000,3.380000,3.380000,3.380000,3.380000,0
2016-08-16,3.380000,3.380000,3.380000,3.380000,3.380000,0
